title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,locality_avg_price_per_sqft,distance_to_city_center,distance_to_nearest_transit
Shantee Muktangan Residency,11800000,700,16857.14285714286,Dahisar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.25618935,72.86355591,18636.9308017118,4.0041199209005525,0.7214457602620947
Mega Pearl,5000000,912,5482.456140350877,Titwala,Mumbai,Apartment,2,1,0,Unfurnished,0,1,19.29733276,73.20366669,4558.154327850026,39.699843869500306,23.97564332995632
Divine Hill View,3270000,640,5109.375,Panvel,Mumbai,Apartment,1,2,0,Unfurnished,0,1,18.97771835,73.10051727,11297.020699625438,28.88701210617983,13.164642344356812
Spenta Medius,55000000,1380,39855.07246376811,Matunga,Mumbai,Apartment,3,4,0,Semi-Furnished,0,1,19.0312767,72.84217834,42209.52208343767,1.7253948524267173,0.031395878287970816
Arihant Aradhana,14500000,1200,12083.333333333334,Kharghar,Mumbai,Apartment,2,2,0,Semi-Furnished,13,1,19.0344677,73.07588196,12891.743625541032,26.292333216596603,10.571925617127816
Raj Shree Shashwat Building No 22,7000000,700,10000.0,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.27744293,72.87704468,12305.61071904151,5.415486803619384,0.8781389823678953
Sri Sai Shri Narayana,2900000,600,4833.333333333333,Taloja,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.07126999,73.09740448,7670.1445991694245,28.552269197255683,12.829651472426182
H B Nandanvan,5100000,1058,4820.415879017013,Taloja,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.07132149,73.09736633,7670.1445991694245,28.548255091146572,12.825640490317824
Rudra Kristina,5500000,1053,5223.171889838556,Taloja,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.07131577,73.09731293,7670.1445991694245,28.542642108366586,12.820031795784296
RNA NG N G Bliss,7011000,675,10386.666666666666,Bhayandar,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.30260086,72.86190033,11040.66079545389,3.845206594714122,0.5634172157226186
Sahakar Shree Ram Krishna Garden,6200000,590,10508.474576271186,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.26572227,72.8765564,12305.61071904151,5.362243408061093,0.9146294970571907
Sheth Avalon,20500000,888,23085.585585585584,Thane,Mumbai,Apartment,2,2,0,Semi-Furnished,3,1,19.21039772,72.97322083,16239.029686566906,15.497407553949177,0.22345217595448424
Shantee Muktangan Residency,14600000,800,18250.0,Dahisar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.25618935,72.86355591,18636.9308017118,4.0041199209005525,0.7214457602620947
H Rishabraj Vatsal,16500000,667,24737.6311844078,Kandivali,Mumbai,Apartment,2,3,0,Semi-Furnished,0,1,19.21144485,72.8372345,21421.20416326041,1.2861529320687513,0.4667881825270576
Shreeji Sharan Daivi Eterneety,23500000,875,26857.14285714286,Borivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.2177639,72.84664154,23461.194000487834,2.2400426221806398,0.1910406658607312
Veena Veena Smart Homes,15500000,598,25919.732441471573,Kandivali,Mumbai,Apartment,2,2,0,Furnished,0,1,19.20652008,72.8211441,21421.20416326041,0.6642573975303201,0.7671529629107097
Dotom Sapphire Wing T,8800000,395,22278.481012658227,Kandivali,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.20258904,72.82205963,21421.20416326041,0.5912416562524001,0.6952918512790982
Chandak 34 Park Estate,17000000,700,24285.714285714286,Goregaon,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.16684914,72.84156036,21215.129935620243,1.697617487740534,0.24042962421268246
Ashray Jaswanti Jewel,19900000,728,27335.16483516484,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.20511246,72.83838654,21421.20416326041,1.3959503011707282,0.3736611180451062
Gurukrupa Shiv Sagar,19500000,678,28761.061946902653,Borivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.23934746,72.83852386,23461.194000487834,1.4319352202440128,0.41999100692082364
Sushanku Avenue 36,10300000,440,23409.090909090908,Goregaon,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.1645031,72.84579468,21215.129935620243,2.133233372809149,0.13679500650627094
Ruparel Ruparel Westsky,15500000,720,21527.777777777777,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.20571518,72.83318329,21421.20416326041,0.8957665156321417,0.5614320849511891
Oxford Navrang Crystal,11700000,420,27857.14285714286,Goregaon,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.15717697,72.84467316,21215.129935620243,2.0147368402095607,0.23496304296432619
Sun Sumit Deepshal,16900000,645,26201.5503875969,Borivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.23185539,72.85574341,23461.194000487834,3.185430881799702,0.10045730005568622
Dimples 73 East,24000000,800,30000.0,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.20656395,72.83274841,21421.20416326041,0.857353286494168,0.5825182635808465
Paranjape Aspire,19000000,700,27142.85714285714,Andheri,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.13640022,72.82959747,26649.9922182252,0.5073569508904895,0.5196289713625727
 ,15000000,658,22796.352583586628,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.21356392,72.81957245,21421.20416326041,0.8015968747366423,0.9016588375590026
Konark Zen Gardens,10500000,400,26250.0,Kandivali,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.20632172,72.83396149,21421.20416326041,0.9679984999059837,0.5354672828374207
CCI Rivali Park Sunburst,19000000,726,26170.798898071625,Borivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.22628212,72.86451721,23461.194000487834,4.09725238195592,0.8207866684086716
Shraddha Elite,24500000,780,31410.25641025641,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.23037148,72.84434509,23461.194000487834,2.010600142039429,0.33556965062478145
Ghanwat Accord,10300000,823,12515.188335358444,Malad,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.19106674,72.85397339,21057.64170268546,2.990123232424738,0.29645411050588677
Ghanwat Accord,9999000,795,12577.358490566035,Malad,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.19106674,72.85397339,21057.64170268546,2.990123232424738,0.29645411050588677
 ,10500000,800,13125.0,Dahisar,Mumbai,Apartment,1,2,0,Unfurnished,6,1,19.25757408,72.85173798,18636.9308017118,2.7797487538754657,0.5235254691520557
 ,26000000,1000,26000.0,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.23949242,72.85430145,23461.194000487834,3.0382819859975436,0.2523950954530038
 ,6200000,680,9117.64705882353,Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01791573,73.09322357,8883.154400505926,28.11679365478188,12.394775290627791
Riddhi Siddhi Ganga Galaxy,4800000,580,8275.862068965518,Sector 22 Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01470184,73.10036469,8275.862068965518,28.86786285668973,13.145146720412486
 ,3000000,350,8571.42857142857,Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01791573,73.09322357,8883.154400505926,28.11679365478188,12.394775290627791
 ,5200000,600,8666.666666666666,Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01791573,73.09322357,8883.154400505926,28.11679365478188,12.394775290627791
 ,4500000,580,7758.620689655172,Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01791573,73.09322357,8883.154400505926,28.11679365478188,12.394775290627791
Swaraj Homes Shreeji Kutir,4500000,580,7758.620689655172,Kamothe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.01793671,73.0944519,8883.154400505926,28.245936899530115,12.523792561921626
 ,5200000,530,9811.32075471698,Kamothe,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.01791573,73.09322357,8883.154400505926,28.11679365478188,12.394775290627791
 ,3399000,644,5277.950310559007,Shivkar,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.98352432,73.15011597,5737.979273439003,34.101811882014154,18.3743919302083
 ,6700000,1120,5982.142857142857,Badlapur,Mumbai,Apartment,2,2,0,Furnished,0,1,19.15452957,73.23560333,4145.485721225118,43.06998224693006,27.339425341980196
 ,6700000,1120,5982.142857142857,Badlapur,Mumbai,Apartment,2,2,0,Furnished,0,1,19.15452957,73.23560333,4145.485721225118,43.06998224693006,27.339425341980196
 ,18500000,950,19473.68421052632,Borivali,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.24913406,72.84872437,23461.194000487834,2.4666186515367268,0.3224004155980194
Reputed Builder Sai Complex Housing,9500000,595,15966.38655462185,Dahisar,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.24968338,72.85036469,18636.9308017118,2.635376664977573,0.4514229113006286
Vini Garden,16000000,950,16842.105263157893,Dahisar,Mumbai,Apartment,2,2,0,Semi-Furnished,14,1,19.24824142,72.8560791,18636.9308017118,3.225191364150375,0.07353911594456548
